"cycle_length_bin","cycle_length_bin_num","cycleday_from_ovu","state","n_cycles","prob_sum","prob"
"(18,21]",2,-3,"hM",5879,2.27055553929561,0.000386214583993129
"(18,21]",2,-3,"lM",5879,180.446483908373,0.0306933975009991
"(18,21]",2,-3,"lE",5879,3887.97962665625,0.661333496624639
"(18,21]",2,-3,"hE",5879,1253.42346056715,0.213203514299566
"(18,21]",2,-3,"O",5879,252.647928803668,0.0429746434433863
"(18,21]",2,-3,"Rise",5879,40.2461790916627,0.00684575252452164
"(18,21]",2,-3,"hP",5879,217.572198629953,0.0370083685371582
"(18,21]",2,-3,"Ep",5879,40.4548513986479,0.00688124704858785
"(18,21]",2,-3,"lP",5879,4.95871540501598,0.000843462392416395
"(18,21]",2,-2,"hM",5879,0.814941519568934,0.000138619071197301
"(18,21]",2,-2,"lM",5879,25.7749293888175,0.00438423701119536
"(18,21]",2,-2,"lE",5879,2983.70516289055,0.507519163614654
"(18,21]",2,-2,"hE",5879,1846.3615392873,0.314060476150246
"(18,21]",2,-2,"O",5879,467.463553584837,0.0795141271619045
"(18,21]",2,-2,"Rise",5879,79.7325483626741,0.0135622637119704
"(18,21]",2,-2,"hP",5879,382.909078424396,0.0651316683831257
"(18,21]",2,-2,"Ep",5879,81.7620999339636,0.0139074842547991
"(18,21]",2,-2,"lP",5879,11.4761466079137,0.00195205759617514
"(18,21]",2,-1,"hM",5879,0.21110280541777,3.59079444493571e-05
"(18,21]",2,-1,"lM",5879,7.22661680691564,0.00122922551571962
"(18,21]",2,-1,"lE",5879,1537.22312905442,0.261476973814325
"(18,21]",2,-1,"hE",5879,2255.72845018378,0.383692541279772
"(18,21]",2,-1,"O",5879,1056.2672742357,0.179667847293027
"(18,21]",2,-1,"Rise",5879,185.176662367898,0.031497986454822
"(18,21]",2,-1,"hP",5879,661.622004519091,0.112539888504693
"(18,21]",2,-1,"Ep",5879,151.930332769936,0.0258428870164885
"(18,21]",2,-1,"lP",5879,24.6144272568593,0.0041868391319713
"(18,21]",2,0,"hM",5879,0.080729340443097,1.37318150098821e-05
"(18,21]",2,0,"lM",5879,3.49043363989803,0.000593712134699444
"(18,21]",2,0,"lE",5879,850.498722346405,0.144667243127471
"(18,21]",2,0,"hE",5879,1140.45307062353,0.193987594935113
