"cycleday","Nothing","Sticky - little","Sticky - medium","Sticky - lots","Creamy - little","Creamy - medium","Creamy - lots","Eggwhite - little","Eggwhite - medium","Eggwhite - lots","Watery - little","Watery - medium","Watery - lots"
-16,0.02574356306019,0.0241825841753667,0.0141481195519599,0.00575855740933454,0.0407351147515302,0.0373250193024271,0.0153006702697864,0.0547377667371625,0.067094117515414,0.0481385746416462,0.0396552978168675,0.0386300312195777,0.0257043987154095
-15,0.0241867803551647,0.0212466570434277,0.0127242158738684,0.00533754070294404,0.0372760638714514,0.0348436783152618,0.0147761477950474,0.0541083397674757,0.0675235265814003,0.0516857452974812,0.0414806360289592,0.0420387279420815,0.0298460281759486
-14,0.0274472120581423,0.0220984815424038,0.012188503586335,0.00479623350901339,0.0379922118902951,0.032640683921358,0.0138655767789005,0.0516689605782895,0.0604221916367339,0.0452124385959023,0.0408777848646592,0.0384412031286717,0.0275912808978706
-13,0.0352758848344467,0.025426052122148,0.01290185415198,0.00460320923830944,0.0417380017232312,0.033261718531449,0.0132067765506283,0.0451984513299093,0.0472084214531091,0.0329036445220271,0.0366102700101827,0.0310181610661654,0.0206717804111137
-12,0.044240323609386,0.0290025960365683,0.0135116989492766,0.00452767800194703,0.0457719292356239,0.0346478565913592,0.0135256862152696,0.0364983718822384,0.0333876039253863,0.0218732865599159,0.0307887699038795,0.0229866729329618,0.0140376201506149
-11,0.0518563899425963,0.0325022099880269,0.0141621068179529,0.00429688811306187,0.0482532702227892,0.0349681649825998,0.0136585652422035,0.0272499916076404,0.0223390625174841,0.0135019078630815,0.024998041782761,0.016623865632728,0.00939944274732284
-10,0.0588220484071302,0.0346170846061745,0.0139075385768796,0.00419897725111059,0.0488659124732843,0.0335526536641042,0.0130025624671299,0.0198199559121376,0.0147579643492564,0.00826227802208869,0.0210452404131279,0.012727013327067,0.00638938310562064
-9,0.0638728501572169,0.0355220607159242,0.0136501728826077,0.00375977709892914,0.0478490382355903,0.032005662045274,0.0118220372173174,0.0147313885438697,0.0100666353351908,0.00519207313661642,0.0179890227936487,0.00994774357425,0.00488994819116676
-8,0.0669374601362919,0.0357458569718129,0.0127997471102308,0.00348282923226694,0.0461439905110387,0.0294068280237672,0.0106918661250797,0.0113492676267526,0.00738527644432509,0.00344226616088713,0.0161468998623653,0.00863713675070216,0.00402133897299898
-7,0.0697796725860776,0.0358535589199593,0.0118570053823,0.0031876979198138,0.0443410319245359,0.0261184217888035,0.009280550986382,0.00948896124967829,0.00579492430091645,0.00277787102621773,0.0152055568610337,0.00758949052782347,0.00341848780869896
-6,0.0712707151409357,0.0349989369677845,0.0109282509203621,0.00273870668143722,0.042349245247127,0.023884655409715,0.00790700146586548,0.00824129712309913,0.00490813163695771,0.00219040585451005,0.0145411617263643,0.00712930947665246,0.00310377432385556
-5,0.0723757091543858,0.0346016986135822,0.0101351729385567,0.00245616390837781,0.0402931171461501,0.0214942316515045,0.00692509539315407,0.007739154273949,0.00416400908612799,0.00183792675148545,0.013922924569472,0.00666633097228283,0.00271772578244766
-4,0.0727142009914174,0.0336967225038325,0.00932950641735764,0.00222677274609196,0.0382523750377656,0.0197556144885696,0.00613201741134871,0.00720623943961418,0.00371641657435071,0.0015399979858337,0.0140110443452281,0.00634882003424083,0.0026282072800922
-3,0.0715588528203923,0.0323455526089048,0.00857419405373348,0.00211067843834973,0.0364480177246635,0.0180197947788334,0.005498394261864,0.00708315149887542,0.00349541777166068,0.00139313169290678,0.0139732787270469,0.00621174482750904,0.00257085948952074
-2,0.0687236340036031,0.0299663186634888,0.0083014423668692,0.00206871664037061,0.0334911096937348,0.016067172446205,0.00504940302348742,0.00700762026251301,0.00346184833327738,0.00135536607472557,0.0135186925822731,0.00622433336690277,0.00258904293531169
-1,0.0618768673000101,0.0253281412601967,0.00676144438103551,0.00191066053464926,0.027459800597536,0.0129004554253807,0.00419757852451128,0.00628028243087493,0.00314853357503329,0.00139592914610539,0.012188503586335,0.00566764018037978,0.0025568722235277
