"cycle_length_bin","cycleday_from_ovu","cycle_length_bin_num","state","prob","prob_sum","n_cycles"
"(27,30]",-21,5,"lM",0.00226140594031404,28.177118016313,12460
"(30,33]",-21,6,"lM",0.0156368233668103,83.1722634880642,5319
"(33,36]",-21,7,"lM",0.12036898551358,246.515682331811,2048
"(36,39]",-21,8,"lM",0.328664292184794,310.916420406815,946
"(39,42]",-21,9,"lM",0.240720307862999,119.878713315773,498
"(42,45]",-21,10,"lM",0.1198949250933,35.2491079774302,294
"(24,27]",-20,4,"lM",0.000557267167538526,7.50304514373871,13464
"(27,30]",-20,5,"lM",0.00522343702170166,65.0840252904027,12460
"(30,33]",-20,6,"lM",0.0357509291677566,190.159192243297,5319
"(33,36]",-20,7,"lM",0.186051308515118,381.033079838962,2048
"(36,39]",-20,8,"lM",0.34970229165637,330.818367906926,946
"(39,42]",-20,9,"lM",0.191882633173287,95.5575513202971,498
"(42,45]",-20,10,"lM",0.120522086139988,35.4334933251565,294
"(21,24]",-19,3,"lM",0,0,3605
"(24,27]",-19,4,"lM",0.00159883245394147,21.5266801598679,13464
"(27,30]",-19,5,"lM",0.0106453156808996,132.640633384009,12460
"(30,33]",-19,6,"lM",0.0668511207234333,355.581111127942,5319
"(33,36]",-19,7,"lM",0.276245998369231,565.751804660184,2048
"(36,39]",-19,8,"lM",0.329532377362441,311.737628984869,946
"(39,42]",-19,9,"lM",0.153083745549681,76.235705283741,498
"(42,45]",-19,10,"lM",0.102658773746727,30.1816794815377,294
"(21,24]",-18,3,"lM",0.000141043831810979,0.50846301367858,3605
"(24,27]",-18,4,"lM",0.00413171729512735,55.6294416615946,13464
"(27,30]",-18,5,"lM",0.0213299189283623,265.770789847394,12460
"(30,33]",-18,6,"lM",0.123410765904184,656.421863844355,5319
"(33,36]",-18,7,"lM",0.347171247623615,711.006715133164,2048
"(36,39]",-18,8,"lM",0.275643720302633,260.758959406291,946
"(39,42]",-18,9,"lM",0.127577507951427,63.5335989598107,498
"(42,45]",-18,10,"lM",0.097210036586113,28.5797507563172,294
"(18,21]",-17,2,"lM",0,0,412
"(21,24]",-17,3,"lM",0.00189480924484612,6.83078732767027,3605
"(24,27]",-17,4,"lM",0.00923029715418863,124.276720883996,13464
"(27,30]",-17,5,"lM",0.0401025112926673,499.677290706635,12460
"(30,33]",-17,6,"lM",0.199601070818092,1061.67809568143,5319
"(33,36]",-17,7,"lM",0.382706357038926,783.78261921572,2048
"(36,39]",-17,8,"lM",0.21697683416083,205.260085116145,946
"(39,42]",-17,9,"lM",0.121821009823389,60.6668628920478,498
"(42,45]",-17,10,"lM",0.0871127912226136,25.6111606194484,294
"(18,21]",-16,2,"lM",1.94172983626658e-05,0.00799992692541833,412
"(21,24]",-16,3,"lM",0.00664936988397442,23.9709784317278,3605
"(24,27]",-16,4,"lM",0.0206624590767015,278.199349008709,13464
"(27,30]",-16,5,"lM",0.0805239401362976,1003.32829409827,12460
"(30,33]",-16,6,"lM",0.293533851323973,1561.30655519221,5319
"(33,36]",-16,7,"lM",0.361404051087413,740.155496627022,2048
"(36,39]",-16,8,"lM",0.166126306303278,157.155485762901,946
"(39,42]",-16,9,"lM",0.104715616463045,52.1483769985966,498
"(42,45]",-16,10,"lM",0.0900852408352664,26.4850608055683,294
"(18,21]",-15,2,"lM",0.00481026616233775,1.98182965888315,412
"(21,24]",-15,3,"lM",0.0162320267255359,58.5164563455569,3605
"(24,27]",-15,4,"lM",0.0396463668076211,533.798682697811,13464
"(27,30]",-15,5,"lM",0.150403456114295,1874.02706318412,12460
"(30,33]",-15,6,"lM",0.373312648692981,1985.64997839797,5319
"(33,36]",-15,7,"lM",0.298216601751389,610.747600386845,2048
"(36,39]",-15,8,"lM",0.133594339180349,126.38024486461,946
"(39,42]",-15,9,"lM",0.0806209002034426,40.1492083013144,498
"(42,45]",-15,10,"lM",0.0730275588383246,21.4701022984674,294
"(18,21]",-14,2,"lM",0.018559461902226,7.6464983037171,412
"(21,24]",-14,3,"lM",0.034344747202833,123.812813666213,3605
"(24,27]",-14,4,"lM",0.0786683705089715,1059.19094053279,13464
"(27,30]",-14,5,"lM",0.240360936049493,2994.89726317668,12460
"(30,33]",-14,6,"lM",0.423448189998932,2252.32092260432,5319
"(33,36]",-14,7,"lM",0.238778788263615,489.018958363884,2048
"(36,39]",-14,8,"lM",0.104248938055033,98.6194954000615,946
"(39,42]",-14,9,"lM",0.0684917834354299,34.1089081508441,498
"(42,45]",-14,10,"lM",0.0751003248755264,22.0794955134048,294
"(18,21]",-13,2,"lM",0.0368261954173316,15.1723925119406,412
"(21,24]",-13,3,"lM",0.0668572936883169,241.020543746383,3605
"(24,27]",-13,4,"lM",0.146507961998324,1972.58320034543,13464
"(27,30]",-13,5,"lM",0.345534958198921,4305.36557915855,12460
