"duration","cycle_length","estimated_ovulation","estimated_luteal_phase","cycle_length_avoid_preg","cycle_length_seek_preg","estimated_ovulation_avoid_preg","estimated_ovulation_seek_preg","estimated_luteal_phase_avoid_preg","estimated_luteal_phase_seek_preg"
26,0.0989251070523464,0.00655422529057065,0.00297124879839203,0.120035698348951,0.104050632911392,0.00446229361892013,0.00784810126582279,0.000694134562943131,0.0010126582278481
27,0.12243292842786,0.00655422529057065,0.00148562439919602,0.147553175665625,0.132151898734177,0.00257821409093163,0.00430379746835443,0.000347067281471565,0.00227848101265823
28,0.116665210172158,0.00463165253866993,0.00139823472865507,0.139273141950518,0.132405063291139,0.00327234865387476,0.0030379746835443,0.000446229361892012,0.00151898734177215
29,0.0970899239709866,0.00323341781001486,0.000786507034868479,0.107838762457236,0.107341772151899,0.00242947097030096,0.00354430379746835,0.000148743120630671,0.000506329113924051
30,0.0810102245914533,0.00340819715109674,0.00174779341081884,0.075164856958699,0.0840506329113924,0.0016857553671476,0.00405063291139241,0.000148743120630671,0.000759493670886076
31,0.0638818491654286,0.00262169011622826,0.00183518308135978,0.0560761564777629,0.0678481012658228,0.00178491744756805,0.00227848101265823,0.000297486241261342,0.000506329113924051
32,0.0488508258323866,0.00262169011622826,0.000873896705409421,0.039466508007338,0.0430379746835443,0.00114036392483514,0.00177215189873418,0.000247905201051118,0.000253164556962025
33,0.0367910512977366,0.00139823472865507,0.000961286375950363,0.0255838167484754,0.0286075949367089,0.00109078288462492,0.0010126582278481,0.000148743120630671,0.000759493670886076
34,0.0296250983133794,0.00174779341081884,0.000786507034868479,0.0185433090386236,0.0237974683544304,0.000842877683573801,0.0020253164556962,0.000148743120630671,0
35,0.0207113519182033,0.00183518308135978,0.000524338023245652,0.0133868808567604,0.0162025316455696,0.00054539144231246,0.00126582278481013,9.91620804204472e-05,0.000506329113924051
36,0.0152931923446649,0.000786507034868479,0.000961286375950363,0.00892458723784025,0.0156962025316456,0.000446229361892012,0.000759493670886076,0.000148743120630671,0.000253164556962025
37,0.0126715022284366,0.000961286375950363,0.000699117364327537,0.00669344042838019,0.0131645569620253,0.000347067281471565,0.000759493670886076,4.95810402102236e-05,0.000506329113924051
38,0.0108363191470768,0.000611727693786594,0.000174779341081884,0.00560265754375527,0.0108860759493671,0.000297486241261342,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
39,0.00961286375950363,0.00122345538757319,0.000349558682163768,0.00381774009618722,0.00683544303797468,0.000297486241261342,0.00126582278481013,0,0
40,0.00681639430219348,0.00043694835270471,0.00043694835270471,0.00337151073429521,0.00708860759493671,0.000247905201051118,0.000506329113924051,0,0.000759493670886076
41,0.00646683562002971,0.0010486760464913,0.000349558682163768,0.00302444345282364,0.00405063291139241,0.000247905201051118,0.0010126582278481,9.91620804204472e-05,0.000253164556962025
42,0.00480643187975181,0.000786507034868479,0.000349558682163768,0.00242947097030096,0.00405063291139241,0.000247905201051118,0,0,0.000506329113924051
43,0.00410731451542428,0.000611727693786594,0.000262169011622826,0.00198324160840894,0.00379746835443038,0.000198324160840894,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
44,0.00410731451542428,0.000961286375950363,0.000174779341081884,0.00198324160840894,0.0020253164556962,4.95810402102236e-05,0.000759493670886076,4.95810402102236e-05,0
45,0.00288385912785109,0.000349558682163768,0.000349558682163768,0.00138826912588626,0.00278481012658228,0.000247905201051118,0.000253164556962025,0,0
46,0.00288385912785109,0.000524338023245652,8.73896705409421e-05,0.00138826912588626,0.00151898734177215,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
47,0.00349558682163768,0.000524338023245652,0.000262169011622826,0.000793296643363578,0.0030379746835443,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
48,0.00174779341081884,0.000262169011622826,0.000262169011622826,0.000743715603153354,0.0020253164556962,9.91620804204472e-05,0.000253164556962025,0,0.000253164556962025
49,0.00148562439919602,0.000262169011622826,8.73896705409421e-05,0.000594972482522683,0.00177215189873418,4.95810402102236e-05,0,4.95810402102236e-05,0.000253164556962025
50,0.00209735209298261,0.000174779341081884,0.000174779341081884,0.000396648321681789,0.0020253164556962,4.95810402102236e-05,0.000253164556962025,0,0
51,0.00139823472865507,0,0.000174779341081884,0.000446229361892012,0.000759493670886076,0,0,0,0.000506329113924051
52,0.00139823472865507,0,8.73896705409421e-05,0.000446229361892012,0.000759493670886076,9.91620804204472e-05,0,9.91620804204472e-05,0.000253164556962025
53,0.00174779341081884,0.000262169011622826,0.000262169011622826,0.000198324160840894,0.000759493670886076,4.95810402102236e-05,0,0,0
54,0.00157301406973696,0.000174779341081884,0.000262169011622826,0.000148743120630671,0.000759493670886076,0.000148743120630671,0,0,0.000253164556962025
