"uncertainties","fraction_of_cycles"
20.05,0
20.1,0
20.15,0.000501303388810901
20.2,0
20.25,0
20.3,0
20.35,0
20.4,0
20.45,0
20.5,0
20.55,0
20.6,0
20.65,0
20.7,0.000501303388810937
20.75,0
20.8,0
20.85,0
20.9,0
20.95,0.000501303388810937
21,0
21.05,0
21.1,0.000501303388810901
21.15,0
21.2,0
21.25,0
21.3,0
21.35,0
21.4,0
21.45,0
21.5,0
21.55,0
21.6,0
21.65,0
21.7,0
21.75,0
21.8,0
21.85,0
21.9,0
21.95,0
22,0
