"duration","cycle_length","estimated_ovulation","estimated_luteal_phase","cycle_length_avoid_preg","cycle_length_seek_preg","estimated_ovulation_avoid_preg","estimated_ovulation_seek_preg","estimated_luteal_phase_avoid_preg","estimated_luteal_phase_seek_preg"
38,0.00671282465820827,0.000421748146065441,0.000175728394193934,0.00560265754375527,0.0108860759493671,0.000297486241261342,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
39,0.00513126911046287,0.000386602467226654,3.51456788387868e-05,0.00381774009618722,0.00683544303797468,0.000297486241261342,0.00126582278481013,0,0
40,0.00400660738762169,0.000281165430710294,0.00010543703651636,0.00337151073429521,0.00708860759493671,0.000247905201051118,0.000506329113924051,0,0.000759493670886076
41,0.00326854813200717,0.000351456788387868,0.00010543703651636,0.00302444345282364,0.00405063291139241,0.000247905201051118,0.0010126582278481,9.91620804204472e-05,0.000253164556962025
42,0.00295223702245809,0.000246019751871507,7.02913576775735e-05,0.00242947097030096,0.00405063291139241,0.000247905201051118,0,0,0.000506329113924051
43,0.00242505183987629,0.000246019751871507,0.000140582715355147,0.00198324160840894,0.00379746835443038,0.000198324160840894,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
44,0.00196815801497206,0.000175728394193934,3.51456788387868e-05,0.00198324160840894,0.0020253164556962,4.95810402102236e-05,0.000759493670886076,4.95810402102236e-05,0
45,0.00147611851122904,0.000281165430710294,0,0.00138826912588626,0.00278481012658228,0.000247905201051118,0.000253164556962025,0,0
46,0.0013355357958739,0.000175728394193934,3.51456788387868e-05,0.00138826912588626,0.00151898734177215,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
47,0.0013355357958739,0.00010543703651636,3.51456788387868e-05,0.000793296643363578,0.0030379746835443,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
48,0.00101922468632482,0.000175728394193934,7.02913576775735e-05,0.000743715603153354,0.0020253164556962,9.91620804204472e-05,0.000253164556962025,0,0.000253164556962025
49,0.000843496292130883,3.51456788387868e-05,7.02913576775735e-05,0.000594972482522683,0.00177215189873418,4.95810402102236e-05,0,4.95810402102236e-05,0.000253164556962025
50,0.000632622219098162,7.02913576775735e-05,0.00010543703651636,0.000396648321681789,0.0020253164556962,4.95810402102236e-05,0.000253164556962025,0,0
51,0.000492039503743015,3.51456788387868e-05,7.02913576775735e-05,0.000446229361892012,0.000759493670886076,0,0,0,0.000506329113924051
52,0.000492039503743015,0.000140582715355147,0.00010543703651636,0.000446229361892012,0.000759493670886076,9.91620804204472e-05,0,9.91620804204472e-05,0.000253164556962025
53,0.000316311109549081,7.02913576775735e-05,0,0.000198324160840894,0.000759493670886076,4.95810402102236e-05,0,0,0
54,0.000316311109549081,0.00010543703651636,7.02913576775735e-05,0.000148743120630671,0.000759493670886076,0.000148743120630671,0,0,0.000253164556962025
55,0.000281165430710294,0,0,0.000148743120630671,0.000759493670886076,0,0,0,0
56,0.000316311109549081,7.02913576775735e-05,0,0.000148743120630671,0.0010126582278481,4.95810402102236e-05,0.000253164556962025,0,0
57,0.000562330861420588,0,7.02913576775735e-05,0.000446229361892012,0.0010126582278481,0,0,4.95810402102236e-05,0.000253164556962025
58,0.000246019751871507,0.000140582715355147,3.51456788387868e-05,0.000198324160840894,0.000253164556962025,0.000148743120630671,0,0,0.000253164556962025
59,0.000281165430710294,0,0,0.000347067281471565,0.000253164556962025,0,0,0,0
60,0.000175728394193934,0,0,9.91620804204472e-05,0.000506329113924051,0,0,0,0
61,0.000175728394193934,3.51456788387868e-05,0,4.95810402102236e-05,0.000759493670886076,4.95810402102236e-05,0,0,0
62,0.000175728394193934,0,3.51456788387868e-05,9.91620804204472e-05,0.000759493670886076,0,0,0,0.000253164556962025
63,0.00010543703651636,0,0,0,0,0,0,0,0
